,id,semester,sarappd_apdc_code,attendance_status,act_composite,rec_test_plan,fafsa_ind,rec_country_of_orig,rec_eof_location,gender,major,saradap_admt_code,program,first_gen_ind,math_readiness_ind,pckg_group_ind,concentration,housing_interest,hs_name,overall_gpa,major_desc,spraddr_cnty_code,age,saradap_majr_code_conc_1,housing,final_grade,hs_state,hs_county,saradap_styp_code_2,spraddr_stat_code,col_desc,sarappd_apdc_date,rec_completed_date,hous_dep_paid,hs_city,sat_erbw,dchs_ind,sat_math,sat_total,col_state,ethnicity
18,132522,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,m,MATH,FR,ENVL_BS,,,UGWPN,GENE,,OAKCREST HIGH SCHOOL,,Environmental Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-06-01,2022-05-10,,MAYS LANDING,550.0,,400.0,950,,Black or African American
19,132499,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,BIOL,FR,BIOL-BS,,,UGONN,COND,HO,WINSLOW TWP. HIGH SCHOOL,,Biology,1,18,COND,Y,,NJ,Camden,F,NJ,,2022-05-24,2022-05-04,Y,ATCO,570.0,,530.0,1100,,Hispanic or Latino
20,132495,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,ENSC,FR,ENVL_BS,,,UGONN,GENE,HO,FREEHOLD TWP. HIGH SCHOOL,,Environmental Science,23,18,COND,Y,,NJ,Monmouth,F,NJ,,2022-05-15,2022-05-04,Y,FREEHOLD,,,,0,,Caucasian or White
21,132486,,IE,,,I will submit SAT or ACT scores,Y,,,f,HLSC,SP,,FGNN: Graduated from college: Bachelors degree,,UGONN,,,WOODROW WILSON HIGH SCHOOL,,,7,18,COND,,,NJ,Camden,F,NJ,,2022-07-07,2022-04-28,,CAMDEN,,,,0,,Hispanic or Latino
22,132431,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,m,BCMB,FR,BCMB,,,UGWPN,COND,,ATLANTIC CITY HS,,Biochemistry Molecular Biology,1,19,COND,,,NJ,Atlantic,F,NJ,,2022-04-27,2022-04-13,,ATLANTIC CITY,,,,0,,Asian
23,132430,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGWPN,COND,,DELSEA REGIONAL HIGH SCHOOL,,Health Science,11,19,COND,,,NJ,Gloucester,F,NJ,,2022-05-01,2022-04-14,,FRANKLINVILLE,410.0,,460.0,870,,Caucasian or White
24,132425,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,Main Campus - Verified,f,ENSC,EO,ENVL_BS,FGNY: High School diploma or GED,,UGOFFN,COND,HO,CEDAR CREEK HIGH SCHOOL,,Environmental Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-06-09,2022-05-02,,EGG HARBOR CITY,450.0,,370.0,820,,Caucasian or White
25,132420,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,HLSC,FR,HLTH-BS,FGNY: High School diploma or GED,,UGOUTN,COND,,,,Health Science,99,29,COND,,,,,F,MD,,2022-05-04,2022-04-12,,,,,,0,,Asian
26,132419,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,COND,HO,SADDLEBROOK HIGH SCHOOL,,Health Science,3,18,COND,Y,,NJ,Bergen,F,NJ,,2022-04-27,2022-04-12,Y,SADDLE BROOK,390.0,,430.0,820,,Caucasian or White
27,132414,spring,IE,ft,23.0,I will submit SAT or ACT scores,Y,,,f,EXSC,FR,EXSC-BS,,,UGONN,COND,HO,OCEAN CITY HIGH SCHOOL,,Exercise Science,9,19,COND,,,NJ,Cape May,F,NJ,GEORGETOWN UNIVERSITY,2022-04-23,2022-04-13,,OCEAN CITY,,,,0,DC,Caucasian or White
28,132396,,IE,,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,SP,,,,UGONN,,HO,OCEAN CITY HIGH SCHOOL,,,9,18,COND,,,NJ,Cape May,F,NJ,,2022-07-13,2022-04-25,,OCEAN CITY,,,,0,,Black or African American
29,132388,,IE,,,I will NOT submit SAT or ACT scores,Y,,,f,ENSC,FR,,FGNY: Some trade school or community college,,UGONN,,HO,AUDUBON JR/SR HIGH SCHOOL,,,7,18,COND,,,NJ,Camden,F,NJ,,2022-05-01,2022-04-05,Y,AUDUBON,,,,0,,Caucasian or White
30,132386,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,m,EXSC,SP,EXSC-BS,,,UGWPN,COND,,PLEASANTVILLE HS,,Exercise Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-05-01,2022-04-05,,PLEASANTVILLE,,,,0,,Hispanic or Latino
31,132381,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,m,CSCI,FR,CSCI,,,UGWPN,COND,,SOUTHERN REGIONAL HIGH SCHOOL,,Computer Science,29,18,COND,,,NJ,Ocean,F,NJ,,2022-04-11,2022-04-04,,MANAHAWKIN,,,,0,,Caucasian or White
32,132359,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,BIOL,FR,BIOL-BS,FGNY: High School diploma or GED,,UGWPN,COND,,ATLANTIC COUNTY INST OF TECH,,Biology,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-05-09,2022-04-08,,MAYS LANDING,,,450.0,0,,Asian
33,132358,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,BIOL,FR,ARTS,FGNY: High School diploma or GED,,UGONN,VIBA,HO,MILLVILLE SENIOR HIGH,,Studies in the Arts,11,18,COND,Y,,NJ,Cumberland,F,NJ,,2022-07-28,2022-07-19,Y,MILLVILLE,,,,0,,Hispanic or Latino
34,132345,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,FGNY: High School diploma or GED,,UGOFFN,COND,,ATLANTIC COUNTY INST OF TECH,,Health Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-04-29,2022-03-28,,MAYS LANDING,,,,0,,Caucasian or White
35,132337,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,FGNY: Some college,,UGWPN,GENE,,PERFORMING ARTS ACAD,,Health Science,29,18,COND,,,NJ,Ocean,F,NJ,,2022-04-20,2022-03-25,,TOMS RIVER,,,,0,,Hispanic or Latino
36,132333,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,COND,HO,LACEY TOWNSHIP HIGH SCHOOL,,Health Science,29,18,COND,Y,,NJ,Ocean,F,NJ,,2022-04-28,2022-03-29,Y,LANOKA HARBOR,450.0,,470.0,920,,Caucasian or White
37,132332,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,SSTB,FR,SUST-BA,,,UGONN,COND,HO,TRITON REGIONAL HIGH SCHOOL,,Sustainability,7,18,COND,Y,,NJ,Camden,F,NJ,,2022-06-01,2022-03-24,Y,RUNNEMEDE,,,,0,,Caucasian or White
38,132328,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,m,CSCI,FR,CSCI,,,UGWPN,GENE,,PLEASANTVILLE HS,,Computer Science,1,18,COND,,,NJ,Atlantic,F,NJ,ATLANTIC CAPE COMMUNITY COL,2022-04-30,2022-03-24,,PLEASANTVILLE,,,,0,NJ,Hispanic or Latino
39,132327,,IE,,,I will submit SAT or ACT scores,Y,,,f,HLSC,SP,,,,UGONN,,HO,OVERBROOK SR. HIGH SCHOOL,,,7,18,COND,,,NJ,Camden,F,NJ,,2022-08-08,2022-03-24,,PINE HILL,,,,0,,Caucasian or White
40,132314,,IE,,,I will NOT submit SAT or ACT scores,Y,,,f,BIOL,FR,,,,UGONN,,HO,EGG HARBOR TOWNSHIP HS,,,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-06-14,2022-03-23,,EGG HARBOR TOWNSHIP,,,,0,,Hispanic or Latino
41,132312,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,Atlantic City 1 - Verified,f,HLSC,EO,HLTH-BS,,,UGONN,COND,HO,FREEDOM PREP CHARTER HS,,Health Science,7,18,COND,Y,,NJ,Camden,F,NJ,,2022-05-01,2022-03-22,,Camden,,,,0,,Black or African American
42,132308,spring,IE,ft,25.0,I will submit SAT or ACT scores,Y,,,f,BIOL,FR,BIOL-BS,,,UGONN,GENE,HO,HIGH POINT REGIONAL HIGH SCHOO,,Biology,37,18,COND,Y,,NJ,Sussex,F,NJ,,2022-04-17,2022-03-22,,SUSSEX,,,,0,,Caucasian or White
43,132307,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,EXSC,FR,EXSC-BS,,,UGWPN,COND,,PINELANDS REGIONAL HIGH SCHOOL,,Exercise Science,29,18,COND,,,NJ,Ocean,F,NJ,,2022-04-23,2022-03-22,,TUCKERTON,,,,0,,Caucasian or White
44,132301,,IE,,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,FR,,FGNY: Some college,,UGONN,,HO,WILLIAMSTOWN HIGH SCHOOL,,,15,18,COND,,,NJ,Gloucester,F,NJ,,2022-06-04,2022-05-04,Y,WILLIAMSTOWN,,,,0,,Black or African American
45,132286,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,LIBA,,,UGONN,ELEM,HO,WASHINGTON TWP. HIGH SCHOOL,,Liberal Studies,7,18,COND,Y,,NJ,Gloucester,F,NJ,,2022-05-01,2022-03-16,Y,SEWELL,,,,0,,More Than 1 Race
46,132285,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,FR,CSCI,,,UGONN,COND,HO,ORANGE HIGH SCHOOL,,Computer Science,13,17,COND,Y,,NJ,Essex,F,NJ,,2022-04-08,2022-03-16,,ORANGE,,,,0,,Black or African American
47,132276,,IE,,,I will NOT submit SAT or ACT scores,Y,,,f,BIOL,FR,,FGNY: Graduated from community college: Asso. degree,,REJISR,,,RANCOCAS VALLEY REGIONAL HIGH,,,5,18,COND,,,NJ,Burlington,F,NJ,,2022-05-02,2022-04-20,,MOUNT HOLLY,,Y,,0,,Caucasian or White
48,132269,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,COND,HO,RUMSON-FAIR HAVEN REGIONAL HIG,,Health Science,25,18,COND,Y,,NJ,Monmouth,F,NJ,,2022-04-25,2022-03-15,Y,RUMSON,,,,0,,More Than 1 Race
49,132264,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,BIOL,FR,BIOL-BS,,,UGWPN,PROF,,PLEASANTVILLE HS,,Biology,1,19,COND,,,NJ,Atlantic,F,NJ,ATLANTIC CAPE COMMUNITY COL,2022-04-07,2022-03-29,,PLEASANTVILLE,490.0,,520.0,1010,NJ,Hispanic or Latino
50,132260,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,f,CHEM,FR,CHEM-BS,,,UGONN,COND,HO,WILDWOOD HIGH SCHOOL,,Chemistry,9,18,COND,,,NJ,Cape May,F,NJ,,2022-03-23,2022-03-14,,WILDWOOD,470.0,,500.0,970,,Black or African American
51,132242,spring,IE,ft,,I will submit SAT or ACT scores,,,,m,CSCI,SP,CSCI,,,,COND,,PLEASANTVILLE HS,,Computer Science,1,19,COND,,,NJ,Atlantic,F,NJ,,2022-05-02,2022-03-11,,PLEASANTVILLE,,,,0,,Asian
52,132239,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,FGNY: High School diploma or GED,,UGOUTN,GENE,HO,Red Lion Christian Academy,,Health Science,99,18,COND,Y,,DE,Out of State,F,DE,,2022-03-21,2022-03-11,,Bear,,,,0,,Caucasian or White
53,132235,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,m,HLSC,SP,HLTH-BS,,,UGONN,COND,HO,HAMMONTON HS,,Health Science,7,18,COND,Y,,NJ,Atlantic,F,NJ,,2022-05-24,2022-03-10,Y,HAMMONTON,,,,0,,Caucasian or White
54,132221,spring,IE,ft,,I will submit SAT or ACT scores,,,,f,CHEM,FR,CHEM-BS,,,UGOFFN,COND,,ATLANTIC CITY HS,,Chemistry,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-05-17,2022-03-08,,ATLANTIC CITY,560.0,,560.0,1120,,Hispanic or Latino
55,132220,spring,IE,ft,,I will NOT submit SAT or ACT scores,,,,m,CSCI,SP,CSCI,,,,COND,HO,PLEASANTVILLE HS,,Computer Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-03-29,2022-03-08,,PLEASANTVILLE,,,,0,,Asian
56,132219,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,m,EXSC,FR,EXSC-BS,FGNY: Some college,,UGONN,GENE,HO,EGG HARBOR TOWNSHIP HS,,Exercise Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-04-17,2022-04-05,Y,EGG HARBOR TOWNSHIP,580.0,,550.0,1130,,Black or African American
57,132217,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,FR,CSCI,,,UGONN,COND,HO,RED BANK REGIONAL HIGH SCHOOL,,Computer Science,25,18,COND,Y,,NJ,Monmouth,F,NJ,,2022-04-28,2022-03-07,Y,LITTLE SILVER,470.0,,510.0,980,,Caucasian or White
58,132207,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,CHEM,FR,CHEM-BS,FGNN: Graduated from college: Bachelors degree,,UGONN,COND,HO,HOPEWELL VALLEY CENTRAL HS,,Chemistry,21,18,COND,Y,,NJ,Mercer,F,NJ,,2022-03-17,2022-03-07,Y,PENNINGTON,,,,0,,Caucasian or White
59,132202,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,COND,HO,NEPTUNE SENIOR HIGH SCHOOL,,Health Science,25,18,COND,Y,,NJ,Monmouth,F,NJ,,2022-04-10,2022-03-11,,NEPTUNE,,,,0,,Black or African American
60,132196,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,ENSC,FR,ENVL_BS,FGNY: High School diploma or GED,,UGONN,COND,HO,BURLINGTON CO. INST. OF TECH,,Environmental Science,5,18,COND,Y,,NJ,Burlington,F,NJ,,2022-03-22,2022-03-04,,MOUNT HOLLY,,,,0,,Caucasian or White
61,132192,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,Atlantic City 1 - Verified,m,PHYS,EO,PHYS-BS,,,UGONN,GENE,HO,ATLANTIC CITY HS,,Applied Physics,1,18,COND,Y,,NJ,Atlantic,F,NJ,,2022-04-23,2022-03-04,,ATLANTIC CITY,,,,0,,More Than 1 Race
62,132183,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,FR,CSCI,FGNY: High School diploma or GED,,UGOFFN,COND,,ABSEGAMI HIGH SCHOOL,,Computer Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-04-21,2022-03-03,,GALLOWAY,,,,0,,Asian
63,132181,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,GENE,HO,FREEHOLD HIGH SCHOOL,,Health Science,25,18,COND,Y,,NJ,Monmouth,F,NJ,Rutgers Univ-Newark PreCol,2022-04-28,2022-03-02,,FREEHOLD,,,,0,NJ,Hispanic or Latino
64,132180,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,COND,HO,LINCOLN HIGH SCHOOL,,Health Science,17,19,COND,Y,,NJ,Hudson,F,NJ,,2022-03-27,2022-03-02,,JERSEY CITY,380.0,,340.0,720,,Black or African American
65,132179,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,HLSC,SP,BUSN-BS,FGNN: Graduate school,,UGWPN,MKTG,,HAMMONTON HS,,Business Studies,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-07-06,2022-03-02,,HAMMONTON,,,,0,,Caucasian or White
66,132177,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,FR,CSCI,,,UGONN,COND,HO,HOWELL HIGH SCHOOL,,Computer Science,25,18,COND,Y,,NJ,Monmouth,F,NJ,,2022-05-02,2022-04-18,,FARMINGDALE,,,,0,,Hispanic or Latino
67,132175,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,GENE,HO,LEAP ACADEMY HIGH SCHOOL,,Health Science,7,18,COND,Y,,NJ,Camden,F,NJ,RUTGERS Camden Arts & Sciences,2022-05-20,2022-04-14,,CAMDEN,,,,0,NJ,Black or African American
68,132165,spring,IE,ft,,I will submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGOFFN,COND,,SOUTHERN REGIONAL HIGH SCHOOL,,Health Science,29,19,COND,,,NJ,Ocean,F,NJ,,2022-04-27,2022-03-10,,MANAHAWKIN,,,,0,,Caucasian or White
69,132148,spring,IE,ft,27.0,I will submit SAT or ACT scores,Y,,Atlantic City 1 - Verified,f,MATH,EO,MATH-BS,FGNY: Some college,,UGONN,GENE,HO,LENAPE HIGH SCHOOL,,Mathematics,5,18,COND,Y,,NJ,Burlington,F,NJ,,2022-05-29,2022-05-20,Y,MEDFORD,,,,0,,Caucasian or White
70,132132,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,m,CSCI,SP,CSCI,,,UGWPN,GENE,,PLEASANTVILLE HS,,Computer Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-05-10,2022-02-23,,PLEASANTVILLE,,,,0,,Hispanic or Latino
71,132130,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGWPN,GENE,,ATLANTIC CITY HS,,Health Science,1,19,COND,,,NJ,Atlantic,F,NJ,,2022-04-11,2022-03-30,,ATLANTIC CITY,,,,0,,Asian
72,132124,,IE,,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,SP,,FGNY: Some trade school or community college,,UGONN,,HO,UNION HIGH SCHOOL,,,39,18,COND,,,NJ,Union,F,NJ,,2022-04-27,2022-02-22,Y,UNION,,,,0,,Black or African American
73,132117,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,COND,HO,BURLINGTON TWP. HIGH SCHOOL,,Health Science,5,18,COND,Y,,NJ,Burlington,F,NJ,,2022-04-23,2022-02-21,Y,BURLINGTON,,,,0,,Caucasian or White
74,132116,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,FGNY: Some trade school or community college,,UGONN,COND,,OAKCREST HIGH SCHOOL,,Health Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-07-08,2022-02-21,,MAYS LANDING,470.0,,400.0,870,,Hispanic or Latino
75,132107,spring,IE,ft,,I will submit SAT or ACT scores,Y,,Main Campus - Verified,m,HLSC,EO,HLTH-BS,,,UGONN,COND,HO,BURLINGTON TWP. HIGH SCHOOL,,Health Science,5,18,COND,Y,,NJ,Burlington,F,NJ,,2022-04-14,2022-02-17,,BURLINGTON,,,,0,,Black or African American
76,132104,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,Main Campus - Verified,f,HLSC,EO,HLTH-BS,FGNY: Some trade school or community college,,UGOFFN,GENE,,TOMS RIVER HIGH SCHOOL NORTH,,Health Science,29,19,COND,Y,,NJ,Ocean,F,NJ,,2022-03-10,2022-02-17,,TOMS RIVER,,,,0,,Caucasian or White
77,132103,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGONN,COND,HO,DELSEA REGIONAL HIGH SCHOOL,,Health Science,11,18,COND,Y,,NJ,Gloucester,F,NJ,RCSJ - Gloucester,2022-04-28,2022-02-17,Y,FRANKLINVILLE,,,510.0,0,NJ,Caucasian or White
78,132090,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,Main Campus - Verified,f,ENSC,EO,ENVL_BS,FGNY: High School diploma or GED,,UGWPN,COND,,EGG HARBOR TOWNSHIP HS,,Environmental Science,1,18,COND,,,NJ,Atlantic,F,NJ,,2022-05-02,2022-04-08,,EGG HARBOR TOWNSHIP,,,,0,,Hispanic or Latino
79,132084,,IE,,,I will NOT submit SAT or ACT scores,Y,,Atlantic City 1,f,EXSC,FR,,,,UGONN,,HO,PINELANDS REGIONAL HIGH SCHOOL,,,1,19,COND,,,NJ,Ocean,F,NJ,,2022-06-03,2022-02-15,,TUCKERTON,,,,0,,Black or African American
80,132073,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,HLSC,FR,HLTH-BS,,,UGWPN,GENE,,PLEASANTVILLE HS,,Health Science,1,17,COND,,,NJ,Atlantic,F,NJ,ATLANTIC CAPE COMMUNITY COL,2022-04-30,2022-03-21,,PLEASANTVILLE,,,,0,NJ,Hispanic or Latino
81,132064,spring,IE,ft,,I will NOT submit SAT or ACT scores,Y,,,f,BIOL,SP,BIOL-BA,,,UGONN,COND,HO,MATAWAN REGIONAL HIGH SCHOOL,,Biology,25,18,COND,Y,,NJ,Monmouth,F,NJ,,2022-04-29,2022-02-11,Y,ABERDEEN,,,,0,,Hispanic or Latino
