,id,semester,sat_math,rec_eof_location,math_readiness_ind,final_grade,concentration,program,housing,saradap_majr_code_conc_1,col_state,fafsa_ind,gender,overall_gpa,hs_county,act_composite,hs_city,major,spraddr_stat_code,sarappd_apdc_date,major_desc,age,dchs_ind,spraddr_cnty_code,hs_state,rec_test_plan,pckg_group_ind,saradap_admt_code,housing_interest,saradap_styp_code_2,attendance_status,hous_dep_paid,rec_completed_date,hs_name,sat_total,sarappd_apdc_code,sat_erbw,rec_country_of_orig,col_desc,ethnicity,first_gen_ind
18,132522,spring,400.0,,,,GENE,ENVL_BS,,COND,,Y,m,,Atlantic,,MAYS LANDING,MATH,NJ,2022-06-01,Environmental Science,18,,1,NJ,I will submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-05-10,OAKCREST HIGH SCHOOL,950,IE,550.0,,,Black or African American,
19,132499,spring,530.0,,,,COND,BIOL-BS,Y,COND,,Y,f,,Camden,,ATCO,BIOL,NJ,2022-05-24,Biology,18,,1,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-05-04,WINSLOW TWP. HIGH SCHOOL,1100,IE,570.0,,,Hispanic or Latino,
20,132495,spring,,,,,GENE,ENVL_BS,Y,COND,,Y,f,,Monmouth,,FREEHOLD,ENSC,NJ,2022-05-15,Environmental Science,18,,23,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-05-04,FREEHOLD TWP. HIGH SCHOOL,0,IE,,,,Caucasian or White,
21,132486,,,,,,,,,COND,,Y,f,,Camden,,CAMDEN,HLSC,NJ,2022-07-07,,18,,7,NJ,I will submit SAT or ACT scores,UGONN,SP,,F,,,2022-04-28,WOODROW WILSON HIGH SCHOOL,0,IE,,,,Hispanic or Latino,FGNN: Graduated from college: Bachelors degree
22,132431,spring,,,,,COND,BCMB,,COND,,Y,m,,Atlantic,,ATLANTIC CITY,BCMB,NJ,2022-04-27,Biochemistry Molecular Biology,19,,1,NJ,I will submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-04-13,ATLANTIC CITY HS,0,IE,,,,Asian,
23,132430,spring,460.0,,,,COND,HLTH-BS,,COND,,Y,f,,Gloucester,,FRANKLINVILLE,HLSC,NJ,2022-05-01,Health Science,19,,11,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-04-14,DELSEA REGIONAL HIGH SCHOOL,870,IE,410.0,,,Caucasian or White,
24,132425,spring,370.0,Main Campus - Verified,,,COND,ENVL_BS,,COND,,Y,f,,Atlantic,,EGG HARBOR CITY,ENSC,NJ,2022-06-09,Environmental Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGOFFN,EO,HO,F,ft,,2022-05-02,CEDAR CREEK HIGH SCHOOL,820,IE,450.0,,,Caucasian or White,FGNY: High School diploma or GED
25,132420,spring,,,,,COND,HLTH-BS,,COND,,Y,m,,,,,HLSC,MD,2022-05-04,Health Science,29,,99,,I will NOT submit SAT or ACT scores,UGOUTN,FR,,F,ft,,2022-04-12,,0,IE,,,,Asian,FGNY: High School diploma or GED
26,132419,spring,430.0,,,,COND,HLTH-BS,Y,COND,,Y,f,,Bergen,,SADDLE BROOK,HLSC,NJ,2022-04-27,Health Science,18,,3,NJ,I will submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-04-12,SADDLEBROOK HIGH SCHOOL,820,IE,390.0,,,Caucasian or White,
27,132414,spring,,,,,COND,EXSC-BS,,COND,DC,Y,f,,Cape May,23.0,OCEAN CITY,EXSC,NJ,2022-04-23,Exercise Science,19,,9,NJ,I will submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-04-13,OCEAN CITY HIGH SCHOOL,0,IE,,,GEORGETOWN UNIVERSITY,Caucasian or White,
28,132396,,,,,,,,,COND,,Y,f,,Cape May,,OCEAN CITY,HLSC,NJ,2022-07-13,,18,,9,NJ,I will NOT submit SAT or ACT scores,UGONN,SP,HO,F,,,2022-04-25,OCEAN CITY HIGH SCHOOL,0,IE,,,,Black or African American,
29,132388,,,,,,,,,COND,,Y,f,,Camden,,AUDUBON,ENSC,NJ,2022-05-01,,18,,7,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,,Y,2022-04-05,AUDUBON JR/SR HIGH SCHOOL,0,IE,,,,Caucasian or White,FGNY: Some trade school or community college
30,132386,spring,,,,,COND,EXSC-BS,,COND,,Y,m,,Atlantic,,PLEASANTVILLE,EXSC,NJ,2022-05-01,Exercise Science,18,,1,NJ,I will submit SAT or ACT scores,UGWPN,SP,,F,ft,,2022-04-05,PLEASANTVILLE HS,0,IE,,,,Hispanic or Latino,
31,132381,spring,,,,,COND,CSCI,,COND,,Y,m,,Ocean,,MANAHAWKIN,CSCI,NJ,2022-04-11,Computer Science,18,,29,NJ,I will submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-04-04,SOUTHERN REGIONAL HIGH SCHOOL,0,IE,,,,Caucasian or White,
32,132359,spring,450.0,,,,COND,BIOL-BS,,COND,,Y,m,,Atlantic,,MAYS LANDING,BIOL,NJ,2022-05-09,Biology,18,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-04-08,ATLANTIC COUNTY INST OF TECH,0,IE,,,,Asian,FGNY: High School diploma or GED
33,132358,spring,,,,,VIBA,ARTS,Y,COND,,Y,m,,Cumberland,,MILLVILLE,BIOL,NJ,2022-07-28,Studies in the Arts,18,,11,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-07-19,MILLVILLE SENIOR HIGH,0,IE,,,,Hispanic or Latino,FGNY: High School diploma or GED
34,132345,spring,,,,,COND,HLTH-BS,,COND,,Y,f,,Atlantic,,MAYS LANDING,HLSC,NJ,2022-04-29,Health Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGOFFN,FR,,F,ft,,2022-03-28,ATLANTIC COUNTY INST OF TECH,0,IE,,,,Caucasian or White,FGNY: High School diploma or GED
35,132337,spring,,,,,GENE,HLTH-BS,,COND,,Y,f,,Ocean,,TOMS RIVER,HLSC,NJ,2022-04-20,Health Science,18,,29,NJ,I will submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-03-25,PERFORMING ARTS ACAD,0,IE,,,,Hispanic or Latino,FGNY: Some college
36,132333,spring,470.0,,,,COND,HLTH-BS,Y,COND,,Y,f,,Ocean,,LANOKA HARBOR,HLSC,NJ,2022-04-28,Health Science,18,,29,NJ,I will submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-03-29,LACEY TOWNSHIP HIGH SCHOOL,920,IE,450.0,,,Caucasian or White,
37,132332,spring,,,,,COND,SUST-BA,Y,COND,,Y,m,,Camden,,RUNNEMEDE,SSTB,NJ,2022-06-01,Sustainability,18,,7,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-03-24,TRITON REGIONAL HIGH SCHOOL,0,IE,,,,Caucasian or White,
38,132328,spring,,,,,GENE,CSCI,,COND,NJ,Y,m,,Atlantic,,PLEASANTVILLE,CSCI,NJ,2022-04-30,Computer Science,18,,1,NJ,I will submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-03-24,PLEASANTVILLE HS,0,IE,,,ATLANTIC CAPE COMMUNITY COL,Hispanic or Latino,
39,132327,,,,,,,,,COND,,Y,f,,Camden,,PINE HILL,HLSC,NJ,2022-08-08,,18,,7,NJ,I will submit SAT or ACT scores,UGONN,SP,HO,F,,,2022-03-24,OVERBROOK SR. HIGH SCHOOL,0,IE,,,,Caucasian or White,
40,132314,,,,,,,,,COND,,Y,f,,Atlantic,,EGG HARBOR TOWNSHIP,BIOL,NJ,2022-06-14,,18,,1,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,,,2022-03-23,EGG HARBOR TOWNSHIP HS,0,IE,,,,Hispanic or Latino,
41,132312,spring,,Atlantic City 1 - Verified,,,COND,HLTH-BS,Y,COND,,Y,f,,Camden,,Camden,HLSC,NJ,2022-05-01,Health Science,18,,7,NJ,I will NOT submit SAT or ACT scores,UGONN,EO,HO,F,ft,,2022-03-22,FREEDOM PREP CHARTER HS,0,IE,,,,Black or African American,
42,132308,spring,,,,,GENE,BIOL-BS,Y,COND,,Y,f,,Sussex,25.0,SUSSEX,BIOL,NJ,2022-04-17,Biology,18,,37,NJ,I will submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-03-22,HIGH POINT REGIONAL HIGH SCHOO,0,IE,,,,Caucasian or White,
43,132307,spring,,,,,COND,EXSC-BS,,COND,,Y,m,,Ocean,,TUCKERTON,EXSC,NJ,2022-04-23,Exercise Science,18,,29,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-03-22,PINELANDS REGIONAL HIGH SCHOOL,0,IE,,,,Caucasian or White,
44,132301,,,,,,,,,COND,,Y,m,,Gloucester,,WILLIAMSTOWN,CSCI,NJ,2022-06-04,,18,,15,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,,Y,2022-05-04,WILLIAMSTOWN HIGH SCHOOL,0,IE,,,,Black or African American,FGNY: Some college
45,132286,spring,,,,,ELEM,LIBA,Y,COND,,Y,f,,Gloucester,,SEWELL,HLSC,NJ,2022-05-01,Liberal Studies,18,,7,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-03-16,WASHINGTON TWP. HIGH SCHOOL,0,IE,,,,More Than 1 Race,
46,132285,spring,,,,,COND,CSCI,Y,COND,,Y,m,,Essex,,ORANGE,CSCI,NJ,2022-04-08,Computer Science,17,,13,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-03-16,ORANGE HIGH SCHOOL,0,IE,,,,Black or African American,
47,132276,,,,,,,,,COND,,Y,f,,Burlington,,MOUNT HOLLY,BIOL,NJ,2022-05-02,,18,Y,5,NJ,I will NOT submit SAT or ACT scores,REJISR,FR,,F,,,2022-04-20,RANCOCAS VALLEY REGIONAL HIGH,0,IE,,,,Caucasian or White,FGNY: Graduated from community college: Asso. degree
48,132269,spring,,,,,COND,HLTH-BS,Y,COND,,Y,f,,Monmouth,,RUMSON,HLSC,NJ,2022-04-25,Health Science,18,,25,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-03-15,RUMSON-FAIR HAVEN REGIONAL HIG,0,IE,,,,More Than 1 Race,
49,132264,spring,520.0,,,,PROF,BIOL-BS,,COND,NJ,Y,m,,Atlantic,,PLEASANTVILLE,BIOL,NJ,2022-04-07,Biology,19,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-03-29,PLEASANTVILLE HS,1010,IE,490.0,,ATLANTIC CAPE COMMUNITY COL,Hispanic or Latino,
50,132260,spring,500.0,,,,COND,CHEM-BS,,COND,,Y,f,,Cape May,,WILDWOOD,CHEM,NJ,2022-03-23,Chemistry,18,,9,NJ,I will submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-03-14,WILDWOOD HIGH SCHOOL,970,IE,470.0,,,Black or African American,
51,132242,spring,,,,,COND,CSCI,,COND,,,m,,Atlantic,,PLEASANTVILLE,CSCI,NJ,2022-05-02,Computer Science,19,,1,NJ,I will submit SAT or ACT scores,,SP,,F,ft,,2022-03-11,PLEASANTVILLE HS,0,IE,,,,Asian,
52,132239,spring,,,,,GENE,HLTH-BS,Y,COND,,Y,f,,Out of State,,Bear,HLSC,DE,2022-03-21,Health Science,18,,99,DE,I will NOT submit SAT or ACT scores,UGOUTN,FR,HO,F,ft,,2022-03-11,Red Lion Christian Academy,0,IE,,,,Caucasian or White,FGNY: High School diploma or GED
53,132235,spring,,,,,COND,HLTH-BS,Y,COND,,Y,m,,Atlantic,,HAMMONTON,HLSC,NJ,2022-05-24,Health Science,18,,7,NJ,I will submit SAT or ACT scores,UGONN,SP,HO,F,ft,Y,2022-03-10,HAMMONTON HS,0,IE,,,,Caucasian or White,
54,132221,spring,560.0,,,,COND,CHEM-BS,,COND,,,f,,Atlantic,,ATLANTIC CITY,CHEM,NJ,2022-05-17,Chemistry,18,,1,NJ,I will submit SAT or ACT scores,UGOFFN,FR,,F,ft,,2022-03-08,ATLANTIC CITY HS,1120,IE,560.0,,,Hispanic or Latino,
55,132220,spring,,,,,COND,CSCI,,COND,,,m,,Atlantic,,PLEASANTVILLE,CSCI,NJ,2022-03-29,Computer Science,18,,1,NJ,I will NOT submit SAT or ACT scores,,SP,HO,F,ft,,2022-03-08,PLEASANTVILLE HS,0,IE,,,,Asian,
56,132219,spring,550.0,,,,GENE,EXSC-BS,,COND,,Y,m,,Atlantic,,EGG HARBOR TOWNSHIP,EXSC,NJ,2022-04-17,Exercise Science,18,,1,NJ,I will submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-04-05,EGG HARBOR TOWNSHIP HS,1130,IE,580.0,,,Black or African American,FGNY: Some college
57,132217,spring,510.0,,,,COND,CSCI,Y,COND,,Y,m,,Monmouth,,LITTLE SILVER,CSCI,NJ,2022-04-28,Computer Science,18,,25,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-03-07,RED BANK REGIONAL HIGH SCHOOL,980,IE,470.0,,,Caucasian or White,
58,132207,spring,,,,,COND,CHEM-BS,Y,COND,,Y,f,,Mercer,,PENNINGTON,CHEM,NJ,2022-03-17,Chemistry,18,,21,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-03-07,HOPEWELL VALLEY CENTRAL HS,0,IE,,,,Caucasian or White,FGNN: Graduated from college: Bachelors degree
59,132202,spring,,,,,COND,HLTH-BS,Y,COND,,Y,f,,Monmouth,,NEPTUNE,HLSC,NJ,2022-04-10,Health Science,18,,25,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-03-11,NEPTUNE SENIOR HIGH SCHOOL,0,IE,,,,Black or African American,
60,132196,spring,,,,,COND,ENVL_BS,Y,COND,,Y,f,,Burlington,,MOUNT HOLLY,ENSC,NJ,2022-03-22,Environmental Science,18,,5,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-03-04,BURLINGTON CO. INST. OF TECH,0,IE,,,,Caucasian or White,FGNY: High School diploma or GED
61,132192,spring,,Atlantic City 1 - Verified,,,GENE,PHYS-BS,Y,COND,,Y,m,,Atlantic,,ATLANTIC CITY,PHYS,NJ,2022-04-23,Applied Physics,18,,1,NJ,I will NOT submit SAT or ACT scores,UGONN,EO,HO,F,ft,,2022-03-04,ATLANTIC CITY HS,0,IE,,,,More Than 1 Race,
62,132183,spring,,,,,COND,CSCI,,COND,,Y,m,,Atlantic,,GALLOWAY,CSCI,NJ,2022-04-21,Computer Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGOFFN,FR,,F,ft,,2022-03-03,ABSEGAMI HIGH SCHOOL,0,IE,,,,Asian,FGNY: High School diploma or GED
63,132181,spring,,,,,GENE,HLTH-BS,Y,COND,NJ,Y,f,,Monmouth,,FREEHOLD,HLSC,NJ,2022-04-28,Health Science,18,,25,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-03-02,FREEHOLD HIGH SCHOOL,0,IE,,,Rutgers Univ-Newark PreCol,Hispanic or Latino,
64,132180,spring,340.0,,,,COND,HLTH-BS,Y,COND,,Y,f,,Hudson,,JERSEY CITY,HLSC,NJ,2022-03-27,Health Science,19,,17,NJ,I will submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-03-02,LINCOLN HIGH SCHOOL,720,IE,380.0,,,Black or African American,
65,132179,spring,,,,,MKTG,BUSN-BS,,COND,,Y,m,,Atlantic,,HAMMONTON,HLSC,NJ,2022-07-06,Business Studies,18,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,SP,,F,ft,,2022-03-02,HAMMONTON HS,0,IE,,,,Caucasian or White,FGNN: Graduate school
66,132177,spring,,,,,COND,CSCI,Y,COND,,Y,m,,Monmouth,,FARMINGDALE,CSCI,NJ,2022-05-02,Computer Science,18,,25,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-04-18,HOWELL HIGH SCHOOL,0,IE,,,,Hispanic or Latino,
67,132175,spring,,,,,GENE,HLTH-BS,Y,COND,NJ,Y,f,,Camden,,CAMDEN,HLSC,NJ,2022-05-20,Health Science,18,,7,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,,2022-04-14,LEAP ACADEMY HIGH SCHOOL,0,IE,,,RUTGERS Camden Arts & Sciences,Black or African American,
68,132165,spring,,,,,COND,HLTH-BS,,COND,,Y,f,,Ocean,,MANAHAWKIN,HLSC,NJ,2022-04-27,Health Science,19,,29,NJ,I will submit SAT or ACT scores,UGOFFN,FR,,F,ft,,2022-03-10,SOUTHERN REGIONAL HIGH SCHOOL,0,IE,,,,Caucasian or White,
69,132148,spring,,Atlantic City 1 - Verified,,,GENE,MATH-BS,Y,COND,,Y,f,,Burlington,27.0,MEDFORD,MATH,NJ,2022-05-29,Mathematics,18,,5,NJ,I will submit SAT or ACT scores,UGONN,EO,HO,F,ft,Y,2022-05-20,LENAPE HIGH SCHOOL,0,IE,,,,Caucasian or White,FGNY: Some college
70,132132,spring,,,,,GENE,CSCI,,COND,,Y,m,,Atlantic,,PLEASANTVILLE,CSCI,NJ,2022-05-10,Computer Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,SP,,F,ft,,2022-02-23,PLEASANTVILLE HS,0,IE,,,,Hispanic or Latino,
71,132130,spring,,,,,GENE,HLTH-BS,,COND,,Y,f,,Atlantic,,ATLANTIC CITY,HLSC,NJ,2022-04-11,Health Science,19,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-03-30,ATLANTIC CITY HS,0,IE,,,,Asian,
72,132124,,,,,,,,,COND,,Y,f,,Union,,UNION,HLSC,NJ,2022-04-27,,18,,39,NJ,I will NOT submit SAT or ACT scores,UGONN,SP,HO,F,,Y,2022-02-22,UNION HIGH SCHOOL,0,IE,,,,Black or African American,FGNY: Some trade school or community college
73,132117,spring,,,,,COND,HLTH-BS,Y,COND,,Y,f,,Burlington,,BURLINGTON,HLSC,NJ,2022-04-23,Health Science,18,,5,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-02-21,BURLINGTON TWP. HIGH SCHOOL,0,IE,,,,Caucasian or White,
74,132116,spring,400.0,,,,COND,HLTH-BS,,COND,,Y,f,,Atlantic,,MAYS LANDING,HLSC,NJ,2022-07-08,Health Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,,F,ft,,2022-02-21,OAKCREST HIGH SCHOOL,870,IE,470.0,,,Hispanic or Latino,FGNY: Some trade school or community college
75,132107,spring,,Main Campus - Verified,,,COND,HLTH-BS,Y,COND,,Y,m,,Burlington,,BURLINGTON,HLSC,NJ,2022-04-14,Health Science,18,,5,NJ,I will submit SAT or ACT scores,UGONN,EO,HO,F,ft,,2022-02-17,BURLINGTON TWP. HIGH SCHOOL,0,IE,,,,Black or African American,
76,132104,spring,,Main Campus - Verified,,,GENE,HLTH-BS,Y,COND,,Y,f,,Ocean,,TOMS RIVER,HLSC,NJ,2022-03-10,Health Science,19,,29,NJ,I will NOT submit SAT or ACT scores,UGOFFN,EO,,F,ft,,2022-02-17,TOMS RIVER HIGH SCHOOL NORTH,0,IE,,,,Caucasian or White,FGNY: Some trade school or community college
77,132103,spring,510.0,,,,COND,HLTH-BS,Y,COND,NJ,Y,f,,Gloucester,,FRANKLINVILLE,HLSC,NJ,2022-04-28,Health Science,18,,11,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,ft,Y,2022-02-17,DELSEA REGIONAL HIGH SCHOOL,0,IE,,,RCSJ - Gloucester,Caucasian or White,
78,132090,spring,,Main Campus - Verified,,,COND,ENVL_BS,,COND,,Y,f,,Atlantic,,EGG HARBOR TOWNSHIP,ENSC,NJ,2022-05-02,Environmental Science,18,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,EO,,F,ft,,2022-04-08,EGG HARBOR TOWNSHIP HS,0,IE,,,,Hispanic or Latino,FGNY: High School diploma or GED
79,132084,,,Atlantic City 1,,,,,,COND,,Y,f,,Ocean,,TUCKERTON,EXSC,NJ,2022-06-03,,19,,1,NJ,I will NOT submit SAT or ACT scores,UGONN,FR,HO,F,,,2022-02-15,PINELANDS REGIONAL HIGH SCHOOL,0,IE,,,,Black or African American,
80,132073,spring,,,,,GENE,HLTH-BS,,COND,NJ,Y,f,,Atlantic,,PLEASANTVILLE,HLSC,NJ,2022-04-30,Health Science,17,,1,NJ,I will NOT submit SAT or ACT scores,UGWPN,FR,,F,ft,,2022-03-21,PLEASANTVILLE HS,0,IE,,,ATLANTIC CAPE COMMUNITY COL,Hispanic or Latino,
81,132064,spring,,,,,COND,BIOL-BA,Y,COND,,Y,f,,Monmouth,,ABERDEEN,BIOL,NJ,2022-04-29,Biology,18,,25,NJ,I will NOT submit SAT or ACT scores,UGONN,SP,HO,F,ft,Y,2022-02-11,MATAWAN REGIONAL HIGH SCHOOL,0,IE,,,,Hispanic or Latino,
