ID,SPRADDR_CNTY_CODE,SARADAP_STYP_CODE_2,SPRADDR_STAT_CODE,SARADAP_ADMT_CODE,ETHNICITY,SARAPPD_APDC_CODE,SARAPPD_APDC_DATE,SARADAP_MAJR_CODE_1,SARADAP_PROGRAM_1,SARADAP_MAJR_CODE_CONC_1,AGE,HS_NAME,HS_CITY,HS_STATE,HS_COUNTY,SPBPERS_SEX,SAT_MATH,SAT_ERBW,SAT_TOTAL,ACT_COMPOSITE,COL_DESC,COL_STATE,DCHS_IND,REC_TEST_PLAN,HOUSING_INTEREST,FIRST_GEN_IND,PCKG_GROUP_IND,HOUS_DEP_PAID,FAFSA_IND,REC_EOF_LOCATION,REC_COUNTRY_OF_ORIG,REC_COMPLETED_DATE
132219,001,F,NJ,FR,Black or African American,IE,2022-04-17,EXSC,EXSC-BS,COND,18,EGG HARBOR TOWNSHIP HS,EGG HARBOR TOWNSHIP,NJ,Atlantic,M,550,580,1130,,,,,I will submit SAT or ACT scores,HO,FGNY: Some college,UGONN,Y,Y,,,2022-04-05
132217,025,F,NJ,FR,Caucasian or White,IE,2022-04-28,CSCI,CSCI,COND,18,RED BANK REGIONAL HIGH SCHOOL,LITTLE SILVER,NJ,Monmouth,M,510,470,980,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-03-07
132207,021,F,NJ,FR,Caucasian or White,IE,2022-03-17,CHEM,CHEM-BS,COND,18,HOPEWELL VALLEY CENTRAL HS,PENNINGTON,NJ,Mercer,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNN: Graduated from college: Bachelors degree,UGONN,Y,Y,,,2022-03-07
132202,025,F,NJ,FR,Black or African American,IE,2022-04-10,HLSC,HLTH-BS,COND,18,NEPTUNE SENIOR HIGH SCHOOL,NEPTUNE,NJ,Monmouth,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-11
132196,005,F,NJ,FR,Caucasian or White,IE,2022-03-22,ENSC,ENVL_BS,COND,18,BURLINGTON CO. INST. OF TECH,MOUNT HOLLY,NJ,Burlington,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: High School diploma or GED,UGONN,,Y,,,2022-03-04
132192,001,F,NJ,EO,More Than 1 Race,IE,2022-04-23,PHYS,PHYS-BS,COND,18,ATLANTIC CITY HS,ATLANTIC CITY,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,Atlantic City 1 - Verified,,2022-03-04
132183,001,F,NJ,FR,Asian,IE,2022-04-21,CSCI,CSCI,COND,18,ABSEGAMI HIGH SCHOOL,GALLOWAY,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNY: High School diploma or GED,UGOFFN,,Y,,,2022-03-03
132181,025,F,NJ,FR,Hispanic or Latino,IE,2022-04-28,HLSC,HLTH-BS,COND,18,FREEHOLD HIGH SCHOOL,FREEHOLD,NJ,Monmouth,F,,,0,,Rutgers Univ-Newark PreCol,NJ,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-02
132180,017,F,NJ,FR,Black or African American,IE,2022-03-27,HLSC,HLTH-BS,COND,19,LINCOLN HIGH SCHOOL,JERSEY CITY,NJ,Hudson,F,340,380,720,,,,,I will submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-03-02
132179,001,F,NJ,SP,Caucasian or White,IE,2022-07-06,HLSC,HLTH-BS,COND,18,HAMMONTON HS,HAMMONTON,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNN: Graduate school,UGWPN,,Y,,,2022-03-02
132177,025,F,NJ,FR,Hispanic or Latino,IE,2022-05-02,CSCI,CSCI,COND,18,HOWELL HIGH SCHOOL,FARMINGDALE,NJ,Monmouth,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-04-18
132175,007,F,NJ,FR,Black or African American,IE,2022-05-20,HLSC,HLTH-BS,COND,18,LEAP ACADEMY HIGH SCHOOL,CAMDEN,NJ,Camden,F,,,0,,RUTGERS Camden Arts & Sciences,NJ,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-04-14
132165,029,F,NJ,FR,Caucasian or White,IE,2022-04-27,HLSC,HLTH-BS,COND,19,SOUTHERN REGIONAL HIGH SCHOOL,MANAHAWKIN,NJ,Ocean,F,,,0,,,,,I will submit SAT or ACT scores,,,UGOFFN,,Y,,,2022-03-10
132148,005,F,NJ,EO,Caucasian or White,IE,2022-05-29,MATH,MATH-BS,COND,18,LENAPE HIGH SCHOOL,MEDFORD,NJ,Burlington,F,,,0,27,,,,I will submit SAT or ACT scores,HO,FGNY: Some college,UGONN,Y,Y,Atlantic City 1 - Verified,,2022-05-20
132132,001,F,NJ,SP,Hispanic or Latino,IE,2022-05-10,CSCI,CSCI,COND,18,PLEASANTVILLE HS,PLEASANTVILLE,NJ,Atlantic,M,,,0,,,,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-02-23
132130,001,F,NJ,FR,Asian,IE,2022-04-11,HLSC,HLTH-BS,COND,19,ATLANTIC CITY HS,ATLANTIC CITY,NJ,Atlantic,F,,,0,,,,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-03-30
132124,039,F,NJ,SP,Black or African American,IE,2022-04-27,HLSC,HLTH-BS,COND,18,UNION HIGH SCHOOL,UNION,NJ,Union,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: Some trade school or community college,UGONN,Y,Y,,,2022-02-22
132117,005,F,NJ,FR,Caucasian or White,IE,2022-04-23,HLSC,HLTH-BS,COND,18,BURLINGTON TWP. HIGH SCHOOL,BURLINGTON,NJ,Burlington,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-02-21
132116,001,F,NJ,FR,Hispanic or Latino,IE,2022-07-08,HLSC,HLTH-BS,COND,18,OAKCREST HIGH SCHOOL,MAYS LANDING,NJ,Atlantic,F,400,470,870,,,,,I will NOT submit SAT or ACT scores,,FGNY: Some trade school or community college,UGONN,,Y,,,2022-02-21
132107,005,F,NJ,EO,Black or African American,IE,2022-04-14,HLSC,HLTH-BS,COND,18,BURLINGTON TWP. HIGH SCHOOL,BURLINGTON,NJ,Burlington,M,,,0,,,,,I will submit SAT or ACT scores,HO,,UGONN,,Y,Main Campus - Verified,,2022-02-17
132104,029,F,NJ,EO,Caucasian or White,IE,2022-03-10,HLSC,HLTH-BS,COND,19,TOMS RIVER HIGH SCHOOL NORTH,TOMS RIVER,NJ,Ocean,F,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNY: Some trade school or community college,UGOFFN,,Y,Main Campus - Verified,,2022-02-17
132103,011,F,NJ,FR,Caucasian or White,IE,2022-04-28,HLSC,HLTH-BS,COND,18,DELSEA REGIONAL HIGH SCHOOL,FRANKLINVILLE,NJ,Gloucester,F,510,,0,,RCSJ - Gloucester,NJ,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-02-17
132090,001,F,NJ,EO,Hispanic or Latino,IE,2022-05-02,ENSC,ENVL_BS,COND,18,EGG HARBOR TOWNSHIP HS,EGG HARBOR TOWNSHIP,NJ,Atlantic,F,,,0,,,,,I will NOT submit SAT or ACT scores,,FGNY: High School diploma or GED,UGWPN,,Y,Main Campus - Verified,,2022-04-08
132084,001,F,NJ,FR,Black or African American,IE,2022-06-03,EXSC,EXSC-BS,COND,19,PINELANDS REGIONAL HIGH SCHOOL,TUCKERTON,NJ,Ocean,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,Atlantic City 1,,2022-02-15
132073,001,F,NJ,FR,Hispanic or Latino,IE,2022-04-30,HLSC,HLTH-BS,COND,17,PLEASANTVILLE HS,PLEASANTVILLE,NJ,Atlantic,F,,,0,,ATLANTIC CAPE COMMUNITY COL,NJ,,I will NOT submit SAT or ACT scores,,,UGWPN,,Y,,,2022-03-21
132064,025,F,NJ,SP,Hispanic or Latino,IE,2022-04-29,BIOL,BIOL-BA,COND,18,MATAWAN REGIONAL HIGH SCHOOL,ABERDEEN,NJ,Monmouth,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-02-11
132057,009,F,NJ,FR,More Than 1 Race,IE,2022-03-31,BIOL,BIOL-BS,COND,18,OCEAN CITY HIGH SCHOOL,OCEAN CITY,NJ,Cape May,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGWPN,,Y,,,2022-02-10
132056,023,F,NJ,FR,Hispanic or Latino,IE,2022-04-07,HLSC,HLTH-BS,COND,19,EAST BRUNSWICK HIGH SCHOOL,EAST BRUNSWICK,NJ,Middlesex,F,370,400,770,,,,,I will NOT submit SAT or ACT scores,,,UGOFFN,,Y,,,2022-02-10
132053,033,F,NJ,FR,Caucasian or White,IE,2022-04-06,EXSC,EXSC-BS,COND,18,PENNSVILLE MEMORIAL HIGH,PENNSVILLE,NJ,Salem,F,530,630,1160,,SALEM COMMUNITY COLLEGE,NJ,,I will submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-02-09
132049,001,F,NJ,FR,Caucasian or White,IE,2022-03-24,CSCI,CSCI,COND,18,MAINLAND REGIONAL HIGH SCHOOL,LINWOOD,NJ,Atlantic,M,,,0,,,,,I will submit SAT or ACT scores,,,UGONN,,Y,,,2022-02-09
132044,005,F,NJ,FR,Asian,IE,2022-04-30,HLSC,HLTH-BS,COND,19,DELRAN HIGH SCHOOL,DELRAN,NJ,Burlington,M,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-02-08
132029,023,F,NJ,FR,Caucasian or White,IE,2022-04-03,HLSC,HLTH-BS,COND,18,SAYREVILLE WAR MEMORIAL HIGH,PARLIN,NJ,Middlesex,F,400,430,830,,MIDDLESEX COLLEGE,NJ,,I will NOT submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-02-07
132024,015,F,NJ,FR,Caucasian or White,IE,2022-03-31,EXSC,EXSC-BS,COND,18,CLEARVIEW REGIONAL HIGH,MULLICA HILL,NJ,Gloucester,M,560,550,1110,,,,,I will NOT submit SAT or ACT scores,HO,FGNY: Completed grade school,UGONN,Y,Y,,,2022-02-07
132018,025,F,NJ,FR,Caucasian or White,IE,2022-03-27,EXSC,EXSC-BS,COND,18,RARITAN HIGH SCHOOL,HAZLET,NJ,Monmouth,M,490,490,980,,,,,I will submit SAT or ACT scores,HO,,UGONN,,Y,,,2022-02-18
132014,001,F,NJ,SP,Hispanic or Latino,IE,2022-05-12,ENSC,ENVL_BS,COND,19,ATLANTIC CITY HS,ATLANTIC CITY,NJ,Atlantic,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGWPN,,Y,,,2022-02-04
132008,001,F,NJ,FR,Asian,IE,2022-03-09,CSCI,CSCI,COND,18,ABSEGAMI HIGH SCHOOL,GALLOWAY,NJ,Atlantic,M,480,580,1060,,,,,I will NOT submit SAT or ACT scores,,,,,,,,2022-02-03
131996,007,F,NJ,FR,Caucasian or White,IE,2022-02-21,ENSC,ENVL_BS,COND,18,WASHINGTON TWP. HIGH SCHOOL,SEWELL,NJ,Gloucester,F,,,0,,,,,I will NOT submit SAT or ACT scores,HO,,UGONN,Y,Y,,,2022-02-02
